"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Consensus.Type"
"TaiEast_1_loc29_20141118_EK000018"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000019"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000020"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000021"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000022"	"hoofed.animal"	"hoofed.animal"	0.875	0.875	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000023"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000024"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000025"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000026"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000028"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000029"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000030"	"hog"	"hog"	0.888888888888889	0.888888888888889	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000031"	"hoofed.animal"	"hoofed.animal"	0.875	0.875	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000032"	"hoofed.animal"	"hoofed.animal"	0.8	0.8	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000033"	"hoofed.animal"	"hoofed.animal"	0.818181818181818	0.818181818181818	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000034"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000037"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000038"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000039"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000041"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000042"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000050"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000051"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000052"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000054"	"hoofed.animal"	"hoofed.animal"	0.875	0.875	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000055"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000056"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000057"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20141118_EK000059"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000061"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000062"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000064"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20141118_EK000066"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20150121_EK000013"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20150121_EK000021"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20150121_EK000034"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20150121_EK000040"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20150121_EK000049"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20150121_EK000083"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20150121_EK000084"	"hoofed.animal"	"hoofed.animal"	0.888888888888889	0.888888888888889	"Consensus reached"
"TaiEast_1_loc29_20150121_EK000088"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20150121_EK000089"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20150121_EK000100"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20150121_EK000114"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_1_loc29_20150121_EK000119"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20150121_EK000121"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_1_loc29_20150121_EK000122"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc33_20140628_EK000007"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_10_loc33_20140628_EK000010"	"blank"	"human"	0.714285714285714	0	"Consensus reached"
"TaiEast_10_loc33_20140628_EK000011"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_10_loc33_20140628_EK000012"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_10_loc33_20140628_EK000014"	"blank"	"human"	0.833333333333333	0	"Consensus reached"
"TaiEast_10_loc33_20140628_EK000015"	"blank"	"no consensus"	NA	NA	"All nonblank clips are nonconsensus"
"TaiEast_10_loc33_20140628_EK000016"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_10_loc33_20140628_EK000018"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_10_loc33_20140628_EK000019"	"blank"	"leopard"	0.8	0	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000007"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000009"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_10_loc34_20140709_EK000010"	"hoofed.animal"	"hoofed.animal"	0.875	0.875	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000011"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000014"	"other (non-primate)"	"other (non-primate)"	0.5	0.5	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000016"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_10_loc34_20140709_EK000017"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000018"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_10_loc34_20140709_EK000021"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000022"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000023"	"pangolin"	"blank"	NA	NA	"Consensus blank"
"TaiEast_10_loc34_20140709_EK000024"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000025"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000026"	"blank"	"hoofed.animal"	1	0	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000028"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000030"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000031"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_10_loc34_20140709_EK000032"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000033"	"hoofed.animal"	"hoofed.animal"	0.9	0.9	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000035"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000036"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_10_loc34_20140709_EK000039"	"rodent"	"rodent"	0.6	0.6	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000040"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000041"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_10_loc34_20140709_EK000045"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_11_loc60_20140702_EK000011"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_11_loc60_20140702_EK000012"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_11_loc60_20140702_EK000013"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_11_loc60_20140702_EK000014"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_11_loc60_20140702_EK000015"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
